                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     34,               0.029482,               0.026656,               0.037046,              0.0020321,                0.90165,                0.88136,                 0.9326,                0.70566,                0.88482,                0.86838,                  0.907,                 0.6633,               0.025608,                0.02375,               0.029015,              0.0013708,              0.0093466,              0.0093466,              0.0093466
                     35,               0.028995,               0.027221,               0.036847,               0.002219,                0.90006,                0.88985,                0.92977,                0.70155,                0.88987,                0.87429,                0.91096,                0.66466,               0.025011,               0.022525,               0.028424,              0.0011359,              0.0093268,              0.0093268,              0.0093268
                     36,               0.029036,               0.026625,               0.036637,              0.0020935,                0.89587,                0.89847,                0.93282,                0.70512,                0.88367,                0.88425,                0.91292,                0.67069,               0.024786,               0.022225,               0.028499,              0.0013471,               0.009307,               0.009307,               0.009307
                     37,               0.029272,               0.026637,               0.036554,              0.0022431,                0.89415,                0.91227,                0.93779,                0.70981,                0.87975,                 0.8964,                0.91739,                0.66667,               0.024883,               0.022522,               0.028727,              0.0015488,              0.0092872,              0.0092872,              0.0092872
                     38,               0.029169,               0.026437,               0.036549,              0.0019592,                0.89403,                0.90483,                0.93536,                 0.7129,                0.88716,                0.88089,                0.91639,                0.68639,               0.024814,               0.022085,                0.02809,              0.0016644,              0.0092674,              0.0092674,              0.0092674
                     39,               0.028538,               0.026078,               0.035931,              0.0020255,                 0.8941,                0.91089,                0.94031,                0.71721,                0.87572,                0.89142,                0.91754,                0.68088,               0.024919,               0.022796,               0.028196,              0.0018008,              0.0092476,              0.0092476,              0.0092476
                     40,               0.028654,                0.02609,               0.036346,              0.0020461,                0.90885,                0.89225,                0.94051,                 0.7164,                0.89692,                 0.8805,                0.92197,                0.67354,               0.024513,               0.022738,               0.027577,              0.0015199,              0.0092278,              0.0092278,              0.0092278
                     41,               0.028218,               0.026022,               0.035167,              0.0020965,                0.91537,                0.89897,                0.94441,                0.72447,                0.90712,                0.88383,                0.92603,                0.68581,                0.02384,                0.02212,               0.026942,              0.0010178,               0.009208,               0.009208,               0.009208
                     42,               0.028233,               0.026081,               0.035946,              0.0019912,                0.92087,                 0.8782,                0.94248,                0.72269,                 0.9115,                0.86334,                0.92154,                0.68173,               0.024431,               0.021919,               0.027979,              0.0010619,              0.0091882,              0.0091882,              0.0091882
                     43,               0.028536,               0.025662,               0.036142,              0.0020264,                 0.9026,                0.88464,                0.93494,                0.71109,                0.89218,                0.87335,                0.91557,                0.67758,               0.024228,               0.022368,               0.029237,              0.0018648,              0.0091684,              0.0091684,              0.0091684
                     44,               0.028077,               0.025858,               0.035022,              0.0019454,                0.92102,                0.90011,                0.94483,                0.73165,                0.90461,                0.88899,                0.92777,                0.68979,               0.023958,                0.02143,               0.027227,              0.0013777,              0.0091486,              0.0091486,              0.0091486
                     45,               0.027715,               0.025391,               0.034789,              0.0019246,                0.90044,                0.90231,                0.94024,                0.73278,                0.89264,                0.89191,                0.92171,                0.68783,               0.024232,               0.022092,               0.028959,              0.0021747,              0.0091288,              0.0091288,              0.0091288
                     46,               0.027939,               0.025204,               0.035164,              0.0019141,                0.89393,                0.91278,                0.94231,                0.72372,                0.88468,                0.90043,                0.92436,                0.69569,               0.023932,               0.022015,                0.02766,              0.0010648,               0.009109,               0.009109,               0.009109
                     47,               0.027023,               0.025299,               0.035314,              0.0018959,                 0.8952,                0.89624,                0.93332,                0.72173,                0.87894,                 0.8812,                0.91036,                0.67213,               0.024112,               0.022971,               0.029984,              0.0012975,              0.0090892,              0.0090892,              0.0090892
                     48,               0.027179,               0.025181,               0.034753,              0.0017437,                0.90881,                0.89288,                0.94418,                0.73322,                0.89707,                 0.8839,                0.92544,                0.69969,                0.02377,               0.021916,               0.027639,              0.0012372,              0.0090694,              0.0090694,              0.0090694
                     49,               0.027285,               0.024574,               0.034913,              0.0016894,                0.90947,                0.90182,                0.94512,                0.73232,                0.89832,                0.89182,                0.92859,                0.70344,               0.023675,               0.021373,               0.027489,              0.0016384,              0.0090496,              0.0090496,              0.0090496
                     50,               0.027279,               0.024405,               0.034268,                0.00172,                0.90472,                0.90797,                 0.9427,                0.73453,                0.89377,                0.89677,                0.92817,                0.69783,               0.023519,               0.021454,               0.026961,              0.0010236,              0.0090298,              0.0090298,              0.0090298
                     51,               0.027035,               0.025004,               0.035083,              0.0016751,                0.89031,                0.92257,                0.94591,                0.74821,                0.88436,                0.90217,                0.93096,                0.71489,               0.023269,               0.021601,               0.025934,             0.00093003,                0.00901,                0.00901,                0.00901
